"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJAML030195_D1",111.301087907116,153.378328457368,112.464513913114,528.906389282191,15.1003000361789,1073.06658619858,10.4061992758686,1143.32459000522,218.911933951459,39.8715787472139
"SJBALL030104_D1",673.354425724177,857.726707505161,642.203285044296,5068.83917293407,172.624243019907,365.798991161231,46.1530094185166,1076.98347172975,218.589943146952,99.124077046587
"SJAML030208_D1",131.965780708575,175.419835944861,175.587461206155,1584.18909443776,15.0338906223647,1359.69230699163,19.7518432892207,663.661934517814,90.5516899803163,51.4085723233057
"SJAML030209_D1",1381.75579247938,1281.85483736931,2342.84791263231,1060.0727056807,223.023508222794,259.530753386177,21.4019599943243,1175.22216444605,1041.40098838022,549.144123290493
"SJBALL030108_D1",99.7925277174654,164.81278865255,154.009933598013,3861.14352709933,139.121383362593,306.911882062227,275.334305748965,900.588783170443,468.868146541702,196.321115894949
"SJBALL030123_D1",313.115132901513,123.756945202076,221.210149437857,8350.07226204901,28.6753897419444,148.767059563471,34.2092368851267,635.48688284253,69.047320036524,159.223874619744
"SJBALL030126_D1",66.7948539018191,61.092854178493,49.7470384024872,3576.98661215077,19.4733472693947,104.294229633285,36.6557125070958,538.635331007047,686.530948830817,61.8565148557242
"SJAML030231_D1",42.8969770167028,11.6223336744761,17.8108490076387,96.030999451732,3.30179933933981,2804.60496110962,223.994067180813,679.378232062559,97.4360985039176,31.6972736576621
"SJAML030233_D1",264.551866540172,50.1045201780629,383.180282885567,209.511123263085,11.6910547082147,646.109717343782,82.6724582938038,606.487380910907,87.0044116008655,1001.25532822496
"SJAML030286_D1",41.3580085362909,35.3121418291746,39.7834844633883,184.942884226536,13.8439646943923,1034.25594623696,97.910938708166,1486.15964180149,139.29235491423,22.6720001516859
"SJBALL030127_D1",86.2798848731562,51.9990377583754,97.395023102989,5862.410034685,93.5260470793002,302.502338705469,22.1477383044932,1120.29038014989,987.801165194695,154.552695559616
"SJBALL030132_D1",63.4068387068375,31.994276411707,43.2130486599678,5319.775596092,151.245670309887,135.0407770624,27.1466587735696,747.890449211841,421.197377533665,159.971382058535
"SJBALL030130_D1",167.083511648963,91.6264418720122,160.538765800963,4352.55542173715,89.6052703601296,175.553182746376,39.5251317879269,1870.9760110885,884.34675192831,624.205135253083
"SJAML030287_D1",282.602827945103,261.782684607869,150.246202444115,472.790754949689,11.338175484661,310.661907673749,131.08270391549,3619.1838870261,116.503341135108,125.150493957271
"SJAML030320_D1",68.9110530617719,34.2797330281773,64.7924624268847,646.920089967654,7.58109480430846,1997.26532434501,35.5981842984919,906.567093468259,32.2196529183109,38.2350868391209
"SJBALL030133_D1",932.065161399546,386.543896287065,785.266344334578,2942.48269087001,76.3453390325282,535.188959554987,11.0941601653387,1187.26977208011,49.522287316989,249.618603720121
"SJAML030297_D1",106.570007145289,52.4283314894831,75.0444744849463,1914.4907714493,9.76606174804096,1645.54469002705,90.1219031485886,1153.21769146867,198.694381288268,138.523875847213
"SJAML030322_D1",60.2324398800385,74.6242617982778,45.307587520383,711.59563929072,8.32860064712921,1091.95093284419,81.7313343504948,1492.84058959317,186.477368489223,57.6339164781342
"SJBALL030143_D1",147.513510517268,130.037562909346,135.345218538299,3262.17688681223,36.8955783651516,197.562737299913,26.4891331852371,529.645057818065,515.699561240187,221.631481228428
"SJBALL030144_D1",62.7262049045788,31.2473714469304,71.1745682957858,7868.35816934957,94.6100968809837,57.2868476527058,15.0450306966702,264.908271266754,106.924599169965,78.5524198874221
"SJBALL030145_D1",170.484351512,338.079137744135,224.835698442783,3181.83945687587,606.929107324852,113.656234341333,45.9119816689566,190.647095909275,127.411769059021,22.3941309189491
"SJAML030324_D1",25.720608929517,11.9076893192208,15.9903256572394,687.999827332759,0.297692232980521,3426.01232698725,8.73230550076196,1194.57939250424,358.719140741529,110.741510668754
"SJAML030345_D1",117.043276723994,134.132787417141,86.5475842620124,344.191356353738,12.9475398965157,1201.12717494254,71.1648955463165,1681.08125681801,74.6812238275645,32.4154236258091
"SJBALL030150_D1",166.591094351948,246.248874070068,121.258915261776,3614.0338752935,40.8082887900208,744.87619375091,13.8359531516642,555.801120312695,468.741494308804,207.889082607449
"SJAML030330_D1",137.219075283935,117.569038758962,224.019878681564,4639.83727609314,35.3949042742651,80.9026383411773,12.6952483166955,210.078761275404,110.893684005483,18.6288969864553
"SJBALL030034_D1",180.799504342549,223.269186570664,81.9924885465249,3696.74989527841,117.094981000376,79.5656495620613,58.6486087912071,724.815910026505,239.346994842737,25.6334867733983
"SJBALL030161_D1",153.598943608005,129.980134506025,113.54775340539,3592.41063981844,55.7879338366568,622.622919903072,46.7775115331418,1716.04451326008,361.004007423676,199.715051801846
"SJBALL030036_D1",207.035855243545,243.053577402035,332.689019378717,3407.74031408239,215.89167965568,96.2401587539112,22.2358798166716,407.951339606857,225.943233001025,84.7880516276799
"SJBALL030170_D1",336.830231676765,386.088363701761,347.849580076347,2273.76853170473,105.619220900841,223.617587191938,272.194352258323,6379.13368209515,185.758768438377,69.8474555738409
"SJBALL030164_D1",718.542435473496,453.058577464137,354.764827346751,11500.6544036918,139.728346320715,91.6400193402093,80.8025033016257,1493.54076845031,164.571146530672,93.1522308804768
"SJBALL030174_D1",46.1038526804352,32.8601973748242,41.3953135760772,4890.19482750793,64.7868664151364,92.3926328785641,7.2192857868932,321.233323427827,234.082229878897,73.3753270926473
"SJBALL030040_D1",80.0934575104703,56.0491741199031,194.953649112707,4545.26309837562,42.1891881282967,295.73772307365,23.5568992677854,549.850521184962,262.80665745623,65.1876264220612
"SJBALL030042_D1",60.3405350588067,65.6933244591848,36.0493980025458,3228.58938162195,20.463991944627,124.683248463351,17.726770092161,371.914588208083,433.719319718129,23.8529332857754
"SJBALL030045_D1",125.703097161872,64.810949376025,81.6058133339317,4062.49098181813,81.3904945652407,49.9539543363382,64.8109493760249,1016.27587905289,453.299837786965,132.636361513726
"SJBALL030190_D1",114.695678966061,126.592305241796,79.7466156944878,2995.67895550098,273.012320943151,311.687250685696,19.192206919188,513.842742601942,585.87071386753,216.484281027198
"SJBALL030196_D1",84.7813797606028,104.490077260062,364.258962713211,5895.05265149042,16.5655000534244,198.239885254716,20.3883077580608,655.059338010029,59.6915494713537,182.061216933309
