"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJAML030069_D1",58.289925917592,77.0807572989211,41.7452288996289,1831.27517257769,16.6816564303635,1796.52400433797,14.572481479398,337.851478509202,478.284181608031,47.7440511627645
"SJAML030077_D1",117.31757565558,51.7394196568178,407.503587520822,324.773947484362,47.9992206454816,245.695454101825,77.1935518173003,1700.37758608703,80.6844042278809,54.4666481025837
"SJAML030079_D1",237.337566573887,227.615085860485,242.023568626675,1493.05198369829,56.3926597453748,754.692962185836,60.4247633122645,1013.31873753139,980.198698091812,140.044611210568
"SJAML030085_D1",19.6105800134042,15.1823845265065,37.6848473068643,185.351611094433,8.5400912961599,1234.65319881626,10.2797395231554,385.253007360103,92.2013560307633,27.7552967125197
"SJAML030099_D1",155.774310165811,147.775879712713,145.685697538559,338.632736459386,30.9085689003076,416.991343743795,38.2851701565941,3107.6828565327,161.139111079474,127.657876286478
"SJAML030118_D1",28.34695186855,41.9215485379965,60.7434682897501,206.679888506377,5.68935301587096,1072.16499240443,9.18281539403733,482.776538020432,146.485868177056,56.294650893881
"SJAML030119_D1",375.755810680459,277.042580530331,255.332586355624,1244.59959721528,40.1778985113769,654.565930559527,13.8969579230425,1633.29601602623,167.122126248717,65.7303695311647
"SJAML030120_D1",380.894084162206,315.060538751454,2312.23533983477,1151.04206777687,25.2753790416278,358.053874529904,34.4842380722984,1803.21215810782,2023.44104216046,188.095844030719
"SJBALL030057_D1",1909.64504535012,1362.77035085115,1269.75586658671,3341.31100838319,146.450494301538,79.2245461903546,32.1765221728744,970.847692541548,346.496979947894,246.055757792569
"SJBALL030059_D1",44.6465908718993,53.9354789056502,53.9354789056502,4993.02701943231,12.0792999632446,469.68812880337,59.1792060214773,1282.16619020709,218.738331117359,3575.19187516775
"SJAML030151_D1",27.0063525006631,20.6605975414909,49.0689191610409,240.261432918012,8.02442850941835,765.021870700869,36.3405153185153,620.60499662726,80.4164567403626,9.63853769234733
"SJAML030153_D1",100.398546880604,246.276368865657,222.206937930564,29.9929008177,6.09417506654463,506.789550071644,15.2951844807395,290.727998762806,9.96576863823181,10.2615153694024
"SJBALL030072_D1",120.631890818873,17.2722934581569,53.8143564886794,4469.50294263534,279.029788365701,135.710877171233,39.3424462102463,642.748647354016,363.869648851839,48.5269197157741
"SJBALL030074_D1",600.694835617181,854.781846544908,548.02307170592,3027.87021355541,21.7492957723462,46.3590431428695,97.8142931560543,4428.3867705277,120.829420957479,128.079186214928
"SJBALL030080_D1",113.007636213299,192.068314512722,195.258818076057,628.316501739293,23.4502011905068,109.593797400532,70.3506035715205,2241.54145347987,76.4178778477944,31.2669349206757
"SJAML030155_D1",802.305878787353,817.586749604089,754.933460372367,3199.95873520541,80.0892097432263,1637.75182386792,37.6005679545663,1238.59278887778,1747.31343307588,159.276005855543
"SJAML030156_D1",481.3415577129,384.486633065146,389.951972554345,5132.75839978262,59.8967049644399,941.541360501751,312.594646534309,1343.40777314255,785.902155198086,394.52919437655
"SJBALL030090_D1",50.1844242515456,56.2634653335627,16.3524357373409,2051.13744309904,1.69760455747818,75.941820203922,29.1017924139118,834.122041232519,45.7868200645544,34.9221508966941
"SJAML030163_D1",170.046232159563,506.28462665639,356.75172283672,1266.00354162751,12.7009119143904,852.900646389015,31.241323559535,412.035101002017,203.973725595245,55.6212349354338
"SJBALL030091_D1",94.8858753336657,97.6070413345064,34.479370445436,3440.50031758479,37.7118114246957,117.889023949469,15.3805034830131,662.308142291596,547.960014473657,52.1310334400205
"SJAML030186_D1",344.295873854354,278.441313404029,271.032675353368,583.361647989127,21.2226610826242,228.697600778159,185.730440020057,2875.66285936427,225.593028642644,1264.40756064624
"SJBALL030095_D1",597.601826722909,733.025109701697,508.502890870547,8505.71414958005,813.005603662793,427.745887259344,37.2724632051711,435.673681020444,229.432717951831,734.578129001913
"SJBALL030103_D1",200.163123862978,206.440857542637,182.468193216466,3095.53974627123,24.1451295371505,139.869286104493,60.5640332556857,704.474396128928,185.394352962754,24.8996648351864
"SJAML030200_D1",15.8965753695798,20.5035446645854,15.7844748608316,160.695476599601,2.65786690096478,1197.1249490672,9.30253415337672,631.762305850276,51.2462051524113,22.5444067492548
"SJAML030195_D1",162.254396073006,223.594472637192,163.950435056348,771.038166704651,22.0131726379536,1564.31328896867,15.1701264621103,1666.73519868491,339.876789822846,58.1246693249336
"SJBALL030104_D1",456.743811924289,581.805585600549,435.613646002208,3438.25010637921,117.092948045394,248.125532762858,31.306100692692,730.529892527649,158.034822587654,67.2369662604409
"SJAML030208_D1",132.724848130019,176.42885117461,176.597440616726,1593.3013531198,15.1203655897973,1367.51325972561,19.8654559293597,667.479319226484,96.8686836159369,51.7042745290141
"SJAML030209_D1",1496.20421667408,1388.02863955763,2536.90192216715,1147.87668041872,241.496156727977,281.027233384147,23.1746470417463,1272.56376817343,1202.51916317192,594.628773985249
"SJBALL030108_D1",92.8794848577556,153.395522271552,143.341025853753,3593.66607862845,129.483867329222,285.650821305681,256.260754853652,838.201257777181,465.480216210695,182.721136823467
"SJBALL030123_D1",920.022708877714,363.633654215806,649.979319208044,24534.9243604632,84.2565784158575,437.120594789036,100.516619864532,1867.2440325423,216.406369825992,467.845738045946
"SJBALL030126_D1",84.5525042560856,77.3346075512978,62.972466148914,4527.94127212849,24.6504061569762,132.021222891144,46.4007645307787,681.833456577275,926.855271502303,78.3012901456891
"SJAML030231_D1",25.9094727999233,7.01980790145705,10.757627693142,58.0020491251704,1.99426360836848,1693.96169632433,135.290843191718,410.339680057898,62.7741003551507,19.1449306403374
"SJAML030233_D1",295.966381867712,56.0542389900971,428.681465800457,234.389762295628,13.0793224310227,722.832758024681,92.4894943336602,678.505421731242,103.762624619446,1120.15054248544
"SJAML030286_D1",30.506428363782,26.0468857957259,29.3450304257042,136.417275606908,10.2115631812789,762.886223257283,72.2209106154218,1096.21870719376,109.574512745202,16.7232846302104
"SJBALL030127_D1",74.9764039262601,45.18667200913,84.6353539218626,5094.37887391821,81.2732503497546,262.871671291209,19.2461751149998,973.521744730034,915.532182318316,134.304830693803
"SJBALL030132_D1",83.1717763700945,41.9674100950019,56.6832551932493,6978.03573306895,198.391393176373,177.135172478904,35.6087115957591,981.020004463165,589.197002939829,209.837050475009
"SJBALL030130_D1",98.4204894550325,53.9725264753404,94.5653089925081,2563.87138838414,52.7819560383844,103.409546524182,23.2822663226958,1102.09782492979,555.599537246151,367.687836613256
"SJAML030287_D1",127.436686360806,118.048068080703,67.75189872301,213.199873443999,5.11282751007432,140.089624652163,59.1103264877791,1632.0317997052,56.0210568698776,56.4352606175292
"SJAML030320_D1",34.6286861706367,17.2260046001892,32.559041661896,325.085625275365,3.80959717119568,1003.65138890333,17.888543238658,455.561567811156,17.2701738427537,19.2136205155956
"SJBALL030133_D1",972.762538403019,403.421817839207,819.553947591346,3070.96225684448,79.6788560158252,558.557268721699,11.5785718110951,1239.11031662596,55.0896258801576,260.517865749639
"SJAML030297_D1",71.4361732254231,35.1438408472339,50.3039290558445,1283.32443668952,6.54640172644552,1103.04408037326,60.4106545282517,773.026679655431,138.485108802597,92.8555402777406
"SJAML030322_D1",25.0892026557966,31.0839678921374,18.8724090773691,296.407836685738,3.46919284510462,454.840917931888,34.0443457866267,621.827376737472,81.9284582299906,24.0068144881239
"SJBALL030143_D1",203.720864689222,179.586023443391,186.91606521659,4505.17036588851,50.9539709373113,272.840443780208,36.5823381088388,731.456724056731,759.677384883548,306.080147098953
"SJBALL030144_D1",425.515781081805,211.972806073962,482.826947168469,53376.5844331798,641.80655172394,388.616811135597,102.060980702278,1797.05834482703,773.70074216996,532.876081935932
"SJBALL030145_D1",472.819754039996,937.62561394372,623.55728660319,8824.48468761025,1683.25168087261,315.213169359997,127.33187349853,528.738926457532,376.920154209285,62.107679556101
"SJAML030324_D1",7.76660940685735,3.5956525031747,4.82844764712031,207.748811294539,0.0898913125793676,1034.52059162769,2.63681183566145,360.715859118486,115.468387385284,33.4395682795247
"SJAML030345_D1",92.4829502056027,105.986403036981,68.3864648167186,271.966344089339,10.2306319598197,949.0830043383,56.2316749446205,1328.32366384015,62.9245200252891,25.6133807339371
"SJBALL030150_D1",122.155765558072,180.56619321014,88.9151708989327,2650.05207215101,29.9233748217563,546.193192664873,10.1454489871859,407.550665381877,366.444497912448,152.43822087769
"SJAML030330_D1",424.167515695321,363.425908459789,692.483572055171,14342.5266972441,109.411673145465,250.08382433249,39.2431732139678,649.389205445049,365.644000858839,57.5850911291918
"SJBALL030034_D1",219.368231935178,270.897682389749,99.4833880204592,4485.35238734574,142.07405625332,96.5388479944837,71.1597172944089,879.435954424694,309.765610732627,31.1017040243666
"SJBALL030161_D1",54.9533276955412,46.5031904363167,40.6241524544815,1285.26221905997,19.9593339483306,222.756749131737,16.7356614549576,613.951855801708,137.671392099963,71.45235787173
"SJBALL030036_D1",309.035496416255,362.797945601388,496.593771813079,5086.61998851027,322.254289316451,143.654466037817,33.1907540812864,608.935319926967,359.643180857027,126.560288767875
"SJBALL030170_D1",112.344100048792,128.773327570575,116.019419728122,758.377530846944,35.2275277100016,74.5839126823642,90.7858816312257,2127.65353346799,66.0323293133461,23.2964526315777
"SJBALL030164_D1",691.134977422607,435.777504915845,341.23298615907,11061.9834392981,134.398669740401,88.1445821024707,77.7204428549287,1436.57244766962,168.711057393822,89.5991131602672
"SJBALL030174_D1",127.709970999937,91.0243853779247,114.667082878684,13546.0835330603,179.462850716704,255.932200445724,19.9977816360592,889.832324936924,691.509497401386,203.253315076843
"SJBALL030040_D1",63.8197613389109,44.6608877523819,155.342218269154,3621.73909302105,33.6170269223091,235.64859717794,18.7705180408561,438.129781443294,223.336801724048,51.9425542337484
"SJBALL030042_D1",86.2802950303614,93.9341921701516,51.5466542067499,4616.52592418597,29.2612463704639,178.283262690288,25.3473216967075,531.796749323081,661.415994391734,34.1070578713051
"SJBALL030045_D1",164.721522070944,84.9283626984484,106.936376952531,5323.49411457096,106.654222923633,65.4597347044518,84.9283626984483,1331.72939586373,633.539251354395,173.806881801475
"SJBALL030190_D1",133.163212712902,146.97535445706,92.5868842190773,3478.02321383861,316.970945154381,361.873054304345,22.2824081556385,596.578276103415,725.550625295653,251.341137027096
"SJBALL030196_D1",231.900093541978,285.808732521676,996.347166856923,16124.5696304505,45.3111405217291,542.239912397395,55.767557565205,1791.7651516054,174.157434979672,497.986861695542
"SJBALL030048_D1",649.173981366274,557.165070621448,378.989084734641,6178.79592588249,306.37689376489,159.555134902735,52.393963063026,1772.1938530684,799.540395685365,106.065827664175
